episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.20378883300872985,True,False
2,490.0,722,1107,0.1,0.023959555426026107,1.8844697500026086,True,False
3,270.0,454,1561,0.1,0.024826985257708368,4.539396916996338,True,False
4,1050.0,720,2281,0.1,0.02819583155813032,8.106701583004906,True,False
5,490.0,621,2902,0.1,0.029303625350885633,11.203532708008424,True,False
6,1480.0,650,3552,0.1,0.027996854108213332,14.504004582995549,True,False
7,330.0,364,3916,0.1,0.0313591841073543,16.272206124995137,True,False
8,320.0,361,4277,0.1,0.03049002566711149,18.338206291999086,True,False
9,750.0,675,4952,0.1,0.03284105110414789,21.607365625008242,True,False
10,1230.0,668,5620,0.1,0.03409320335210619,24.881990833004238,True,False
11,750.0,763,6383,0.1,0.035496080137397114,28.690174167000805,True,False
12,630.0,635,7018,0.1,0.03485165801010557,31.892472374995123,True,False
13,380.0,444,7462,0.1,0.035039360371737126,34.86559933300305,True,False
14,280.0,324,7786,0.1,0.03515010543547019,36.61715137500141,True,False
15,380.0,472,8258,0.1,0.035740904299881686,39.171752207999816,True,False
16,680.0,637,8895,0.1,0.038106181160195395,42.28913633299817,True,False
17,1260.0,1174,10069,0.1,0.037657775943877085,48.13387387500552,True,False
18,630.0,592,10661,0.1,0.03889154744447788,51.19700916700822,True,False
19,810.0,729,11390,0.1,0.040571050239972525,55.842752166994615,True,False
20,460.0,573,11963,0.1,0.04055902485611972,58.903381124997395,True,False
21,390.0,453,12416,0.1,0.04034584469831826,61.14355925000564,True,False
22,470.0,501,12917,0.1,0.0379079826772213,63.65105400000175,True,False
23,480.0,475,13392,0.1,0.04169857382242169,65.84750266700576,True,False
24,470.0,466,13858,0.1,0.041667468259753336,68.09492600000522,True,False
25,770.0,602,14460,0.1,0.042908439307862166,71.08736841700738,True,False
26,720.0,643,15103,0.1,0.04228105708316434,75.99581179200322,True,False
27,760.0,566,15669,0.1,0.04361055304073322,79.1372766669956,True,False
28,440.0,674,16343,0.1,0.04460207875845732,82.3932119999954,True,False
29,910.0,670,17013,0.1,0.045076548163446466,85.66963516699616,True,False
30,750.0,747,17760,0.1,0.0457705460976869,89.38666879199445,True,False
31,1340.0,818,18578,0.1,0.04197256620882042,93.4669767919986,True,False
