episode,training_episode_id,seed,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated,lives_lost,shaped_return
1,1,1112,350.0,435,1737,0.1,nan,22.36463165283203,True,False,3,2.0000000000000013
2,3,1114,270.0,448,1791,0.1,nan,22.482272624969482,True,False,3,1.2000000000000008
3,4,1115,1380.0,697,2788,0.1,nan,23.958472967147827,True,False,3,12.299999999999992
4,2,1113,600.0,847,3386,0.1,nan,24.84341287612915,True,False,3,4.499999999999998
5,5,1116,820.0,531,3861,0.1,nan,25.798444747924805,True,False,3,6.699999999999987
6,6,1117,870.0,868,5263,0.1,nan,27.95876383781433,True,False,3,7.199999999999986
7,7,1118,620.0,698,5580,0.1,nan,28.56647562980652,True,False,3,4.699999999999996
8,8,1119,2490.0,930,7106,0.1,nan,31.408649921417236,True,False,3,23.400000000000006
9,9,1120,2060.0,900,7461,0.1,nan,32.4163818359375,True,False,3,19.09999999999998
10,11,1122,640.0,647,8168,0.1,nan,33.79276967048645,True,False,3,4.899999999999997
11,10,1121,860.0,798,8455,0.1,nan,34.42539978027344,True,False,3,7.099999999999989
12,12,1123,1480.0,796,10290,0.1,0.00415984998905253,38.35010004043579,True,False,3,13.29999999999998
13,13,1124,1170.0,788,10613,0.1,0.0037509132028850666,39.82565975189209,True,False,3,10.199999999999983
14,14,1125,1430.0,736,11112,0.1,0.0035625344105181703,42.024852991104126,True,False,3,12.799999999999988
15,15,1126,870.0,815,11715,0.1,0.003953829140194511,44.84180307388306,True,False,3,7.199999999999994
16,17,1128,420.0,479,12529,0.1,0.004363287168813555,48.65862679481506,True,False,3,2.7000000000000024
17,16,1127,620.0,617,12758,0.1,0.0043782119716953855,49.91706871986389,True,False,3,4.6999999999999975
18,18,1129,1170.0,518,13184,0.1,0.005019808208251203,51.78917479515076,True,False,3,10.199999999999989
19,19,1130,290.0,499,13711,0.1,0.005314930235754273,54.6430459022522,True,False,3,1.4000000000000012
20,21,1132,2070.0,544,14934,0.1,0.005721333288152784,63.04482579231262,True,False,3,19.20000000000004
21,23,1134,220.0,320,14991,0.1,0.005839494925021426,63.55211591720581,True,False,3,0.7000000000000004
22,20,1131,1050.0,726,15433,0.1,0.0057890540439142915,66.36372566223145,True,False,3,8.999999999999988
23,24,1135,2080.0,511,16978,0.1,0.0062397075832366705,74.45103001594543,True,False,3,19.300000000000054
24,22,1133,1250.0,1054,17400,0.1,0.005936620265007526,76.35818195343018,True,False,3,10.999999999999982
25,25,1136,1620.0,812,18239,0.1,0.005904505223549359,80.17058682441711,True,False,3,14.699999999999982
26,26,1137,1370.0,727,18341,0.1,0.005880516666130827,82.71006894111633,True,False,3,12.199999999999982
27,27,1138,1320.0,637,19526,0.1,0.005312903252853522,89.1620659828186,True,False,3,11.699999999999983
28,28,1139,660.0,620,19880,0.1,0.005198322050742835,90.83110570907593,True,False,3,5.099999999999994
29,30,1141,660.0,543,20513,0.1,0.004886876269776209,94.05412364006042,True,False,3,5.099999999999997
30,31,1142,1260.0,621,22010,0.1,0.004853010338550395,101.46372771263123,True,False,3,11.099999999999985
31,29,1140,910.0,946,22023,0.1,0.004977602066534195,101.57347202301025,True,False,3,7.599999999999987
32,32,1143,1220.0,614,22336,0.1,0.004949430894415297,103.12884879112244,True,False,3,10.699999999999987
33,33,1144,470.0,560,22753,0.1,0.005037254510742579,105.08762764930725,True,False,3,3.1999999999999993
34,37,1148,910.0,544,24929,0.1,0.0047553182866977295,116.04514980316162,True,False,3,7.599999999999989
35,36,1147,820.0,655,24956,0.1,0.00476006267117763,116.24912285804749,True,False,3,6.699999999999987
36,34,1145,1820.0,842,25378,0.1,0.004770448036155069,118.66817283630371,True,False,3,16.700000000000003
37,35,1146,1570.0,854,25439,0.1,0.004738843726008951,119.07222294807434,True,False,3,14.199999999999976
38,39,1150,460.0,488,26908,0.1,0.004714600404425806,126.3501136302948,True,False,3,3.1000000000000028
39,38,1149,1980.0,888,28481,0.1,0.004727026385840906,134.45455288887024,True,False,3,18.3
40,40,1151,1120.0,862,28826,0.1,0.004786613886123048,136.20297598838806,True,False,3,9.699999999999985
41,41,1152,1980.0,884,28975,0.1,0.004787542385708149,137.02443289756775,True,False,3,18.299999999999997
42,42,1153,970.0,591,29272,0.1,0.0047765728887942715,139.0506627559662,True,False,3,8.199999999999982
43,45,1156,760.0,467,30843,0.1,0.004741575415231232,146.9615716934204,True,False,3,6.099999999999991
44,44,1155,720.0,651,31430,0.1,0.004725271228185144,150.61512875556946,True,False,3,5.69999999999999
45,43,1154,1570.0,815,31741,0.1,0.004797646613503046,152.50477480888367,True,False,3,14.199999999999985
46,46,1157,2140.0,753,32284,0.1,0.004761027135026046,155.21886277198792,True,False,3,19.899999999999984
47,47,1158,1010.0,750,33843,0.1,0.004966861649416387,162.9313669204712,True,False,3,8.599999999999987
48,50,1161,540.0,521,34368,0.1,0.00497734197057898,166.08166575431824,True,False,3,3.9000000000000012
49,48,1159,1050.0,785,34570,0.1,0.004985960919312113,167.22940874099731,True,False,3,8.999999999999988
50,49,1160,1950.0,988,35693,0.1,0.004833971322073435,173.07495188713074,True,False,3,18.000000000000018
51,52,1163,960.0,638,36920,0.1,0.004646130491721044,181.34315085411072,True,False,3,8.099999999999993
52,53,1164,2700.0,604,36986,0.1,0.004485469996572213,181.78811287879944,True,False,3,25.50000000000005
53,51,1162,1370.0,1031,37967,0.1,0.004582885674516662,186.89674282073975,True,False,3,12.199999999999978
54,54,1165,1250.0,698,38485,0.1,0.004597690964136326,189.6038339138031,True,False,3,10.99999999999999
55,55,1166,1070.0,768,39992,0.1,0.00444264967397127,197.73465776443481,True,False,3,9.19999999999998
56,56,1167,1020.0,788,40138,0.1,0.004439656592274396,198.46137499809265,True,False,3,8.699999999999987
57,57,1168,1360.0,817,41235,0.1,0.004435612632071707,204.47745490074158,True,False,3,12.099999999999978
58,58,1169,1240.0,747,41473,0.1,0.004383960763635201,205.65392994880676,True,False,3,10.899999999999984
59,59,1170,1550.0,678,42704,0.1,0.004346811490759781,212.36889696121216,True,False,3,13.999999999999991
60,60,1171,1290.0,803,43350,0.1,0.004438339733094752,216.06785488128662,True,False,3,11.399999999999991
61,61,1172,1360.0,882,44763,0.1,0.004477458402618466,223.9204387664795,True,False,3,12.099999999999985
62,62,1173,1340.0,838,44825,0.1,0.004486509262673614,224.27741074562073,True,False,3,11.899999999999991
63,63,1174,1380.0,625,45204,0.1,0.00472781448578462,226.90888595581055,True,False,3,12.299999999999981
64,64,1175,900.0,617,45818,0.1,0.0047824471655741,230.18566989898682,True,False,3,7.499999999999986
65,67,1178,1010.0,572,47492,0.1,0.004778080109842252,239.5755739212036,True,False,3,8.599999999999987
66,66,1177,1370.0,893,48397,0.1,0.004670405648750423,245.48106479644775,True,False,3,12.199999999999992
67,65,1176,1600.0,928,48475,0.1,0.004699921925466383,245.90394687652588,True,False,3,14.499999999999982
