episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.1814275000069756,True,False
2,900.0,908,1293,0.1,0.002560246236129928,3.139201292011421,True,False
3,860.0,656,1949,0.1,0.0025904997748023937,6.492541292012902,True,False
4,1410.0,920,2869,0.1,0.002542296046870077,10.85069079202367,True,False
5,410.0,685,3554,0.1,0.004424393135482923,13.835458834015299,True,False
6,960.0,902,4456,0.1,0.003277474829343368,18.94060504200752,True,False
7,720.0,540,4996,0.1,0.0017063528151252453,21.658071250014473,True,False
8,360.0,517,5513,0.1,0.0023227682294411577,23.92587525001727,True,False
9,430.0,477,5990,0.1,0.0016858774048052832,26.452665999997407,True,False
10,980.0,740,6730,0.1,0.002923538432750738,29.923043875023723,True,False
11,2340.0,991,7721,0.1,0.0036718088237223364,34.77863929202431,True,False
12,750.0,657,8378,0.1,0.00492669515230174,37.90493533402332,True,False
13,550.0,634,9012,0.1,0.004336919003601352,41.87567691699951,True,False
14,500.0,550,9562,0.1,0.0014619741075371398,44.89883945899783,True,False
15,1020.0,706,10268,0.1,0.003854810705940051,48.21723850001581,True,False
16,850.0,861,11129,0.1,0.0012892146499727333,52.26324954201118,True,False
17,1340.0,696,11825,0.1,0.0030883819804278143,55.49127845899784,True,False
18,770.0,778,12603,0.1,0.0032809145504870685,59.55244041699916,True,False
19,810.0,725,13328,0.1,0.0023069060426768283,63.04204075000598,True,False
20,490.0,451,13779,0.1,0.0023397080638980178,65.32141708402196,True,False
21,420.0,437,14216,0.1,0.0029630806121117943,67.6979960000026,True,False
22,810.0,637,14853,0.1,0.0035526209829860943,71.26672679200419,True,False
23,460.0,415,15268,0.1,0.003014704779686256,73.4656295000168,True,False
24,620.0,562,15830,0.1,0.003888348639598657,76.26237366700661,True,False
25,470.0,462,16292,0.1,0.0013831695215575847,78.44596308399923,True,False
26,270.0,409,16701,0.1,0.004821435290853283,83.26328958402155,True,False
27,470.0,388,17089,0.1,0.0031745212196706094,85.10413583400077,True,False
28,1410.0,758,17847,0.1,0.0024845539520601816,88.60880025001825,True,False
29,340.0,480,18327,0.1,0.0031245298752764937,90.75954829200055,True,False
30,510.0,577,18904,0.1,0.002991193603294709,93.50513125001453,True,False
31,350.0,438,19342,0.1,0.0030736306912790123,95.79457562501193,True,False
32,410.0,481,19823,0.1,0.0018723244675129536,98.17866725000204,True,False
33,300.0,464,20287,0.1,0.003045060513300243,100.42218616700848,True,False
34,660.0,609,20896,0.1,0.0008620003447944018,103.44625591702061,True,False
35,330.0,414,21310,0.1,0.003992630463789751,105.49330341702444,True,False
36,840.0,699,22009,0.1,0.0030960882591898552,109.0326323340123,True,False
37,1030.0,864,22873,0.1,0.0022324302247701175,113.28950954202446,True,False
38,1430.0,934,23807,0.1,0.0015754523372793242,117.51932245900389,True,False
39,630.0,490,24297,0.1,0.0021488537646454334,119.75596495901118,True,False
40,900.0,755,25052,0.1,0.002020905262460469,123.23827833399992,True,False
41,800.0,982,26034,0.1,0.002074983343422622,127.68077754200203,True,False
42,2140.0,742,26776,0.1,0.003334178818398849,131.0081005000102,True,False
43,500.0,524,27300,0.1,0.0020054254278972505,133.36159504202078,True,False
44,340.0,440,27740,0.1,0.0013063480537808076,135.34780316700926,True,False
45,1000.0,853,28593,0.1,0.0028608051820618796,139.04474012501305,True,False
46,1490.0,844,29437,0.1,0.0026569569949129643,142.8454189170152,True,False
47,1100.0,767,30204,0.1,0.0024130587030413153,146.4870270420215,True,False
48,1070.0,951,31155,0.1,0.003021087489628851,150.6927710000018,True,False
49,310.0,370,31525,0.1,0.0033242362596768065,152.40066333400318,True,False
50,1460.0,953,32478,0.1,0.0034849628491352602,156.596938667004,True,False
51,790.0,655,33133,0.1,0.00615938410822021,161.54581075001624,True,False
52,410.0,450,33583,0.1,0.0011451552439081883,163.6107336670102,True,False
53,1300.0,644,34227,0.1,0.004051611662960918,166.64278529200237,True,False
54,810.0,765,34992,0.1,0.0025206547948831335,170.2511310420232,True,False
55,190.0,282,35274,0.1,0.0015182595219812357,171.5480795839976,True,False
56,390.0,488,35762,0.1,0.006481330419118138,173.97159441700205,True,False
57,290.0,465,36227,0.1,0.002259029980607387,176.33521887499955,True,False
58,790.0,581,36808,0.1,0.004300273287473629,179.16124220899655,True,False
59,450.0,514,37322,0.1,0.005680004492660373,181.57673037500354,True,False
60,630.0,683,38005,0.1,0.002896121540123853,184.5777985000168,True,False
61,630.0,597,38602,0.1,0.003627489771945527,187.54694550001295,True,False
62,1100.0,796,39398,0.1,0.004392114019442008,191.15839841699926,True,False
63,710.0,580,39978,0.1,0.004990866741141433,193.76956220902503,True,False
64,840.0,795,40773,0.1,0.0039902709750780346,197.37229791699792,True,False
65,720.0,651,41424,0.1,0.003994075132643181,200.37058208399685,True,False
66,1180.0,790,42214,0.1,0.002483248288257445,203.8709065419971,True,False
67,540.0,582,42796,0.1,0.0034156547876653797,207.63582766702166,True,False
68,500.0,582,43378,0.1,0.0029527730292415824,210.89435595899704,True,False
69,1420.0,709,44087,0.1,0.00514243028191113,214.57914466701914,True,False
70,1210.0,661,44748,0.1,0.005023876458605617,217.90320912501193,True,False
71,410.0,569,45317,0.1,0.006867194871414489,220.42211866701837,True,False
72,500.0,553,45870,0.1,0.004197374773523905,223.05025983400992,True,False
73,1340.0,772,46642,0.1,0.007985293951233574,226.51340779202292,True,False
74,800.0,669,47311,0.1,0.0024129767153861035,229.52948675001971,True,False
75,600.0,536,47847,0.1,0.002280638211449337,232.05696191699826,True,False
76,520.0,575,48422,0.1,0.002585790756105174,236.2658073750208,True,False
77,400.0,429,48851,0.1,0.0012658826486483894,238.62768954201601,True,False
78,660.0,731,49582,0.1,0.0034183797705950357,243.93833654202172,True,False
79,920.0,709,50291,0.1,0.0022736065972518795,247.76143104201765,True,False
80,1580.0,774,51065,0.1,0.002932608980006183,251.25861862499733,True,False
81,230.0,478,51543,0.1,0.004975427249779126,253.28968104202067,True,False
82,500.0,535,52078,0.1,0.0033469474861405287,255.63904150002054,True,False
83,490.0,436,52514,0.1,0.0023578848604886115,257.5410489170172,True,False
84,680.0,591,53105,0.1,0.004294498091464472,260.1367485000228,True,False
85,300.0,392,53497,0.1,0.003543647854322834,261.83671945901006,True,False
86,940.0,683,54180,0.1,0.0027359604472308066,264.8468494590197,True,False
87,1600.0,834,55014,0.1,0.0035405971127777146,268.5069546250161,True,False
88,470.0,465,55479,0.1,0.004820213154367781,270.8164243340143,True,False
89,900.0,767,56246,0.1,0.0037394233841799482,274.30916991701815,True,False
90,720.0,699,56945,0.1,0.002836909145615729,277.37009362500976,True,False
91,1490.0,844,57789,0.1,0.002905647973701031,281.1754153340007,True,False
92,310.0,373,58162,0.1,0.0018150897600227385,282.7955208340136,True,False
93,250.0,368,58530,0.1,0.005882612060067122,284.38757708400954,True,False
94,1170.0,901,59431,0.1,0.003395343178805585,288.3046091670112,True,False
95,320.0,376,59807,0.1,0.0029254865695157663,289.99711566700717,True,False
96,1170.0,615,60422,0.1,0.003376794152918828,292.66172995901434,True,False
97,400.0,519,60941,0.1,0.004102145996876061,294.9713577500079,True,False
98,610.0,684,61625,0.1,0.003793750993590203,297.8467698340246,True,False
99,720.0,821,62446,0.1,0.004427892581003195,301.69051054201555,True,False
100,330.0,473,62919,0.1,0.0051870528377703055,303.89487933402415,True,False
101,430.0,479,63398,0.1,0.006669852991035441,308.3567567920254,True,False
102,260.0,351,63749,0.1,0.004294086554595692,310.01857462502085,True,False
103,630.0,604,64353,0.1,0.003155247523990577,312.6993045840063,True,False
104,880.0,698,65051,0.1,0.0025239930295481764,315.8777485000028,True,False
105,1020.0,794,65845,0.1,0.0040998562925317365,319.39566195901716,True,False
106,470.0,453,66298,0.1,0.005061268856680944,321.4362682920182,True,False
107,480.0,507,66805,0.1,0.0035402111429079456,323.8176650000096,True,False
108,280.0,460,67265,0.1,0.002912905554884397,326.35898058401654,True,False
109,620.0,597,67862,0.1,0.003472241013421796,330.0345170420187,True,False
110,390.0,440,68302,0.1,0.003859278358339163,332.88075570901856,True,False
111,500.0,681,68983,0.1,0.00484132609785507,336.9810948750237,True,False
112,880.0,644,69627,0.1,0.0034458631357128923,340.5385149590147,True,False
113,430.0,591,70218,0.1,0.004799489671288914,343.647966834018,True,False
114,450.0,485,70703,0.1,0.002939728931485375,346.14333245900343,True,False
115,600.0,508,71211,0.1,0.002396175868151064,348.51737258399953,True,False
116,800.0,797,72008,0.1,0.002928698693285696,352.1969510000199,True,False
117,630.0,537,72545,0.1,0.0029301943447277534,354.9186300840229,True,False
118,670.0,621,73166,0.1,0.0031096214522427367,358.0820530000201,True,False
119,1050.0,883,74049,0.1,0.003794330649490877,362.09307291702135,True,False
120,310.0,394,74443,0.1,0.003209907161065957,364.186396709003,True,False
121,840.0,610,75053,0.1,0.0020111160532775294,367.80783662499744,True,False
122,260.0,467,75520,0.1,0.0028700341242186437,370.16712966701016,True,False
123,980.0,566,76086,0.1,0.0032336757190571767,373.0579388750193,True,False
124,330.0,462,76548,0.1,0.0025718209657623384,375.2205896670057,True,False
125,810.0,729,77277,0.1,0.003060939351568807,378.5492286250228,True,False
126,2360.0,763,78040,0.1,0.004215879944983275,383.96102970899665,True,False
127,390.0,477,78517,0.1,0.0014658974265452755,386.221293834009,True,False
128,1130.0,765,79282,0.1,0.0026054378225302314,389.7290382500214,True,False
129,830.0,662,79944,0.1,0.004751273357948984,392.98823079201975,True,False
130,820.0,633,80577,0.1,0.0027985833273961834,396.44070883400855,True,False
131,1060.0,708,81285,0.1,0.0017732077169345197,399.8084249170206,True,False
132,360.0,430,81715,0.1,0.0022003096558271132,401.8093905840069,True,False
133,610.0,670,82385,0.1,0.004548893322602713,404.9971352920111,True,False
134,580.0,659,83044,0.1,0.0030965287446495936,408.1256510000094,True,False
135,1510.0,805,83849,0.1,0.004666363650009694,412.0288653340249,True,False
136,540.0,554,84403,0.1,0.005829476299434158,414.4881441250036,True,False
137,750.0,596,84999,0.1,0.004143752962829007,417.51835833399673,True,False
138,870.0,908,85907,0.1,0.0031131783909049493,421.6174865840003,True,False
139,270.0,464,86371,0.1,0.002835557370041176,424.0366936250066,True,False
140,1020.0,762,87133,0.1,0.004795880100344849,428.157870709023,True,False
141,1920.0,665,87798,0.1,0.0034796942689200774,431.3701275839994,True,False
142,1340.0,696,88494,0.1,0.0034544794790476196,434.59532162500545,True,False
143,1080.0,780,89274,0.1,0.005541258615752062,438.6031315840082,True,False
144,820.0,653,89927,0.1,0.0028133742192380153,441.68019983402337,True,False
145,630.0,804,90731,0.1,0.004188612626028011,445.5853100840177,True,False
146,450.0,487,91218,0.1,0.005606429822185672,447.7737368750095,True,False
147,780.0,705,91923,0.1,0.005746713150735807,450.95286170902546,True,False
148,550.0,623,92546,0.1,0.005619016885667896,453.7412885000231,True,False
149,1040.0,735,93281,0.1,0.007086418977806992,457.10165475000395,True,False
150,1790.0,1141,94422,0.1,0.004704602120297128,462.6621083340142,True,False
151,570.0,474,94896,0.1,0.0039111054385033974,466.6706035840034,True,False
